"","contact_serial_no","infant_serial_no","contact_age","contact_time"
"1","4C-01-001-01","4C-01-001",24,3
"2","4C-01-001-02","4C-01-001",30,2
"3","4C-01-001-03","4C-01-001",62,2
"4","4C-01-001-04","4C-01-001",54,2
"5","4C-01-001-05","4C-01-001",33,2
"6","4C-01-001-06","4C-01-001",35,2
"7","4C-01-002-01","4C-01-002",20,3
"8","4C-01-002-02","4C-01-002",51,2
"9","4C-01-002-03","4C-01-002",56,3
"10","4C-01-002-04","4C-01-002",34,2
"11","4C-01-002-05","4C-01-002",2,2
"12","4C-01-003-01","4C-01-003",31,3
"13","4C-01-003-02","4C-01-003",36,3
"14","4C-01-003-03","4C-01-003",73,2
"15","4C-01-003-04","4C-01-003",42,2
"16","4C-01-003-05","4C-01-003",4,2
"17","4C-01-004-01","4C-01-004",26,3
"18","4C-01-004-02","4C-01-004",22,3
"19","4C-01-004-03","4C-01-004",0,3
"20","4C-01-004-04","4C-01-004",32,2
"21","4C-01-004-05","4C-01-004",55,2
"22","4C-01-004-06","4C-01-004",60,2
"23","4C-01-004-07","4C-01-004",28,2
"24","4C-01-005-01","4C-01-005",36,3
"25","4C-01-005-02","4C-01-005",34,3
"26","4C-01-005-03","4C-01-005",73,3
"27","4C-01-005-04","4C-01-005",46,3
"28","4C-01-005-05","4C-01-005",4,2
"29","4C-01-006-01","4C-01-006",39,3
"30","4C-01-006-02","4C-01-006",42,2
"31","4C-01-006-03","4C-01-006",33,3
"32","4C-01-006-04","4C-01-006",70,2
"33","4C-01-006-05","4C-01-006",14,2
"34","4C-01-007-01","4C-01-007",27,3
"35","4C-01-007-02","4C-01-007",49,3
"36","4C-01-007-03","4C-01-007",27,2
"37","4C-01-007-04","4C-01-007",0,3
"38","4C-01-008-01","4C-01-008",33,2
"39","4C-01-008-02","4C-01-008",57,2
"40","4C-01-008-03","4C-01-008",26,2
"41","4C-01-008-04","4C-01-008",9,2
"42","4C-01-008-05","4C-01-008",59,2
"43","4C-01-008-06","4C-01-008",35,2
"44","4C-01-008-07","4C-01-008",7,1
"45","4C-01-008-08","4C-01-008",30,1
"46","4C-01-009-01","4C-01-009",24,3
"47","4C-01-009-02","4C-01-009",27,2
"48","4C-01-009-03","4C-01-009",47,2
"49","4C-01-009-04","4C-01-009",38,2
"50","4C-01-009-05","4C-01-009",39,2
"51","4C-01-009-06","4C-01-009",50,2
"52","4C-01-009-07","4C-01-009",22,2
"53","4C-01-009-08","4C-01-009",0,2
"54","4C-01-010-01","4C-01-010",35,3
"55","4C-01-010-02","4C-01-010",68,3
"56","4C-01-010-03","4C-01-010",63,1
"57","4C-01-010-04","4C-01-010",9,2
"58","4C-01-010-05","4C-01-010",8,3
"59","4C-01-010-06","4C-01-010",3,2
"60","4C-01-011-01","4C-01-011",35,3
"61","4C-01-011-02","4C-01-011",35,2
"62","4C-01-011-03","4C-01-011",69,2
"63","4C-01-011-04","4C-01-011",3,2
"64","4C-01-012-01","4C-01-012",25,2
"65","4C-01-012-02","4C-01-012",53,2
"66","4C-01-012-03","4C-01-012",22,2
"67","4C-01-012-04","4C-01-012",54,2
"68","4C-01-012-05","4C-01-012",23,3
"69","4C-01-012-06","4C-01-012",13,1
"70","4C-01-013-01","4C-01-013",23,3
"71","4C-01-013-02","4C-01-013",48,2
"72","4C-01-013-03","4C-01-013",43,2
"73","4C-01-013-04","4C-01-013",13,2
"74","4C-01-014-01","4C-01-014",27,3
"75","4C-01-014-02","4C-01-014",24,3
"76","4C-01-014-03","4C-01-014",53,3
"77","4C-01-014-04","4C-01-014",55,2
"78","4C-01-015-01","4C-01-015",23,3
"79","4C-01-015-02","4C-01-015",22,3
"80","4C-01-015-03","4C-01-015",50,2
"81","4C-01-015-04","4C-01-015",33,2
"82","4C-01-015-05","4C-01-015",23,2
"83","4C-01-015-06","4C-01-015",22,1
"84","4C-01-016-01","4C-01-016",31,2
"85","4C-01-016-02","4C-01-016",53,2
"86","4C-01-016-03","4C-01-016",36,2
"87","4C-01-016-04","4C-01-016",22,2
"88","4C-01-016-05","4C-01-016",0,3
"89","4C-01-016-06","4C-01-016",53,2
"90","4C-01-016-07","4C-01-016",4,1
"91","4C-01-017-01","4C-01-017",28,3
"92","4C-01-017-02","4C-01-017",36,2
"93","4C-01-017-03","4C-01-017",9,2
"94","4C-01-017-04","4C-01-017",65,2
"95","4C-01-018-01","4C-01-018",26,3
"96","4C-01-018-02","4C-01-018",28,2
"97","4C-01-018-03","4C-01-018",65,3
"98","4C-01-018-04","4C-01-018",65,2
"99","4C-01-018-05","4C-01-018",15,2
"100","4C-01-018-06","4C-01-018",10,1
"101","4C-01-018-07","4C-01-018",26,1
"102","4C-01-018-08","4C-01-018",2,1
"103","4C-01-019-01","4C-01-019",23,3
"104","4C-01-019-02","4C-01-019",50,3
"105","4C-01-019-03","4C-01-019",25,2
"106","4C-01-019-04","4C-01-019",54,2
"107","4C-01-019-05","4C-01-019",22,2
"108","4C-01-019-06","4C-01-019",49,2
"109","4C-01-019-07","4C-01-019",31,2
"110","4C-01-019-08","4C-01-019",18,2
"111","4C-01-019-09","4C-01-019",16,2
"112","4C-01-019-10","4C-01-019",30,2
"113","4C-01-019-11","4C-01-019",40,2
"114","4C-01-020-01","4C-01-020",26,3
"115","4C-01-020-02","4C-01-020",62,3
"116","4C-01-020-03","4C-01-020",34,2
"117","4C-01-020-04","4C-01-020",36,2
"118","4C-01-021-01","4C-01-021",30,3
"119","4C-01-021-02","4C-01-021",69,3
"120","4C-01-021-03","4C-01-021",41,3
"121","4C-01-021-04","4C-01-021",11,2
"122","4C-01-021-05","4C-01-021",4,2
"123","4C-01-022-01","4C-01-022",36,2
"124","4C-01-022-02","4C-01-022",31,3
"125","4C-01-022-03","4C-01-022",54,3
"126","4C-01-022-04","4C-01-022",26,3
"127","4C-01-022-05","4C-01-022",37,2
"128","4C-01-022-06","4C-01-022",34,2
"129","4C-01-022-07","4C-01-022",10,2
"130","4C-01-023-01","4C-01-023",30,3
"131","4C-01-023-02","4C-01-023",35,2
"132","4C-01-023-03","4C-01-023",62,2
"133","4C-01-023-04","4C-01-023",19,1
"134","4C-01-024-01","4C-01-024",31,3
"135","4C-01-024-02","4C-01-024",69,2
"136","4C-01-024-03","4C-01-024",36,2
"137","4C-01-024-04","4C-01-024",8,2
"138","4C-01-024-05","4C-01-024",30,2
"139","4C-01-025-01","4C-01-025",26,3
"140","4C-01-025-02","4C-01-025",27,3
"141","4C-01-025-03","4C-01-025",51,2
"142","4C-01-025-04","4C-01-025",50,2
"143","4C-01-025-05","4C-01-025",19,2
"144","4C-01-026-01","4C-01-026",28,3
"145","4C-01-026-02","4C-01-026",52,3
"146","4C-01-026-03","4C-01-026",3,1
"147","4C-01-026-04","4C-01-026",42,2
"148","4C-01-027-01","4C-01-027",22,2
"149","4C-01-027-02","4C-01-027",54,3
"150","4C-01-027-03","4C-01-027",27,2
"151","4C-01-027-04","4C-01-027",49,2
"152","4C-01-028-01","4C-01-028",27,3
"153","4C-01-028-02","4C-01-028",28,2
"154","4C-01-028-03","4C-01-028",71,2
"155","4C-01-028-04","4C-01-028",70,2
"156","4C-01-028-05","4C-01-028",48,3
"157","4C-01-028-06","4C-01-028",50,2
"158","4C-01-029-01","4C-01-029",25,3
"159","4C-01-029-02","4C-01-029",18,2
"160","4C-01-029-03","4C-01-029",54,2
"161","4C-01-029-04","4C-01-029",23,2
"162","4C-01-029-05","4C-01-029",24,2
"163","4C-01-029-06","4C-01-029",51,2
"164","4C-01-030-01","4C-01-030",35,3
"165","4C-01-030-02","4C-01-030",65,3
"166","4C-01-030-03","4C-01-030",45,2
"167","4C-01-030-04","4C-01-030",67,2
"168","4C-01-030-05","4C-01-030",42,2
"169","4C-01-031-01","4C-01-031",27,3
"170","4C-01-031-02","4C-01-031",26,3
"171","4C-01-031-03","4C-01-031",49,3
"172","4C-01-031-04","4C-01-031",50,2
"173","4C-01-032-01","4C-01-032",37,3
"174","4C-01-032-02","4C-01-032",32,2
"175","4C-01-032-03","4C-01-032",34,2
"176","4C-01-032-04","4C-01-032",29,1
"177","4C-01-032-05","4C-01-032",61,2
"178","4C-01-032-06","4C-01-032",11,2
"179","4C-01-032-07","4C-01-032",39,1
"180","4C-01-033-01","4C-01-033",29,3
"181","4C-01-033-02","4C-01-033",8,3
"182","4C-01-033-03","4C-01-033",35,3
"183","4C-01-034-01","4C-01-034",26,3
"184","4C-01-034-02","4C-01-034",27,2
"185","4C-01-034-03","4C-01-034",54,3
"186","4C-01-034-04","4C-01-034",28,2
"187","4C-01-034-05","4C-01-034",31,2
"188","4C-01-034-06","4C-01-034",53,2
"189","4C-01-034-07","4C-01-034",50,3
"190","4C-01-034-08","4C-01-034",60,3
"191","4C-01-035-01","4C-01-035",39,2
"192","4C-01-035-02","4C-01-035",27,3
"193","4C-01-035-03","4C-01-035",7,2
"194","4C-01-035-04","4C-01-035",9,2
"195","4C-01-035-05","4C-01-035",64,2
"196","4C-01-035-06","4C-01-035",50,1
"197","4C-01-036-01","4C-01-036",28,3
"198","4C-01-036-02","4C-01-036",30,3
"199","4C-01-036-03","4C-01-036",5,2
"200","4C-01-036-04","4C-01-036",55,2
"201","4C-01-036-05","4C-01-036",25,2
"202","4C-01-036-06","4C-01-036",65,2
"203","4C-01-036-07","4C-01-036",43,2
"204","4C-01-037-01","4C-01-037",29,3
"205","4C-01-037-02","4C-01-037",60,2
"206","4C-01-037-03","4C-01-037",34,2
"207","4C-01-037-04","4C-01-037",9,2
"208","4C-01-038-01","4C-01-038",30,3
"209","4C-01-038-02","4C-01-038",31,3
"210","4C-01-038-03","4C-01-038",9,2
"211","4C-01-039-01","4C-01-039",25,3
"212","4C-01-039-02","4C-01-039",30,2
"213","4C-01-039-03","4C-01-039",3,2
"214","4C-01-039-04","4C-01-039",36,2
"215","4C-01-040-01","4C-01-040",28,3
"216","4C-01-040-02","4C-01-040",35,2
"217","4C-01-040-03","4C-01-040",72,2
"218","4C-01-040-04","4C-01-040",70,2
"219","4C-01-040-05","4C-01-040",3,2
"220","4C-01-041-01","4C-01-041",27,3
"221","4C-01-041-02","4C-01-041",26,2
"222","4C-01-041-03","4C-01-041",53,2
"223","4C-01-041-04","4C-01-041",54,2
"224","4C-01-041-05","4C-01-041",24,2
"225","4C-01-041-06","4C-01-041",24,2
"226","4C-01-042-01","4C-01-042",28,3
"227","4C-01-042-02","4C-01-042",28,3
"228","4C-01-042-03","4C-01-042",58,3
"229","4C-01-042-04","4C-01-042",21,2
"230","4C-01-042-05","4C-01-042",5,2
"231","4C-01-042-06","4C-01-042",11,1
"232","4C-01-042-07","4C-01-042",15,2
"233","4C-01-042-08","4C-01-042",1,1
"234","4C-01-042-09","4C-01-042",38,2
"235","4C-01-043-01","4C-01-043",30,3
"236","4C-01-043-02","4C-01-043",33,2
"237","4C-01-043-03","4C-01-043",62,2
"238","4C-01-043-04","4C-01-043",63,2
"239","4C-01-043-05","4C-01-043",8,2
"240","4C-01-044-01","4C-01-044",36,3
"241","4C-01-044-02","4C-01-044",70,2
"242","4C-01-044-03","4C-01-044",74,2
"243","4C-01-044-04","4C-01-044",9,2
"244","4C-01-044-05","4C-01-044",40,1
"245","4C-01-044-06","4C-01-044",43,2
"246","4C-01-044-07","4C-01-044",36,2
"247","4C-01-045-01","4C-01-045",39,3
"248","4C-01-045-02","4C-01-045",60,2
"249","4C-01-045-03","4C-01-045",39,3
"250","4C-01-045-04","4C-01-045",9,2
"251","4C-01-046-01","4C-01-046",32,3
"252","4C-01-046-02","4C-01-046",31,2
"253","4C-01-046-03","4C-01-046",51,3
"254","4C-01-046-04","4C-01-046",55,2
"255","4C-01-046-05","4C-01-046",26,2
"256","4C-01-047-01","4C-01-047",23,3
"257","4C-01-047-02","4C-01-047",50,2
"258","4C-01-047-03","4C-01-047",24,2
"259","4C-01-047-04","4C-01-047",50,2
"260","4C-01-048-01","4C-01-048",43,3
"261","4C-01-048-02","4C-01-048",37,3
"262","4C-01-048-03","4C-01-048",69,2
"263","4C-01-048-04","4C-01-048",84,2
"264","4C-01-048-05","4C-01-048",51,2
"265","4C-01-048-06","4C-01-048",10,2
"266","4C-01-049-01","4C-01-049",30,3
"267","4C-01-049-02","4C-01-049",58,3
"268","4C-01-049-03","4C-01-049",30,2
"269","4C-01-050-01","4C-01-050",30,3
"270","4C-01-050-02","4C-01-050",60,3
"271","4C-01-050-03","4C-01-050",33,2
"272","4C-01-050-04","4C-01-050",35,2
"273","4C-01-051-01","4C-01-051",37,3
"274","4C-01-051-02","4C-01-051",39,2
"275","4C-01-051-03","4C-01-051",57,2
"276","4C-01-051-04","4C-01-051",61,2
"277","4C-01-051-05","4C-01-051",37,2
"278","4C-01-052-01","4C-01-052",37,3
"279","4C-01-052-02","4C-01-052",6,2
"280","4C-01-052-03","4C-01-052",4,2
"281","4C-01-052-04","4C-01-052",42,2
"282","4C-01-052-05","4C-01-052",70,2
"283","4C-01-052-06","4C-01-052",87,2
"284","4C-01-052-07","4C-01-052",27,2
"285","4C-01-053-01","4C-01-053",36,3
"286","4C-01-053-02","4C-01-053",74,3
"287","4C-01-053-03","4C-01-053",35,2
"288","4C-01-053-04","4C-01-053",39,2
"289","4C-01-053-05","4C-01-053",38,3
"290","4C-01-053-06","4C-01-053",40,2
"291","4C-01-054-01","4C-01-054",30,2
"292","4C-01-054-02","4C-01-054",26,3
"293","4C-01-054-03","4C-01-054",51,3
"294","4C-01-054-04","4C-01-054",5,1
"295","4C-01-054-05","4C-01-054",31,2
"296","4C-01-055-01","4C-01-055",28,3
"297","4C-01-055-02","4C-01-055",28,3
"298","4C-01-055-03","4C-01-055",55,2
"299","4C-01-055-04","4C-01-055",21,2
"300","4C-01-055-05","4C-01-055",17,2
"301","4C-01-056-01","4C-01-056",30,3
"302","4C-01-056-02","4C-01-056",51,3
"303","4C-01-056-03","4C-01-056",33,3
"304","4C-01-056-04","4C-01-056",45,1
"305","4C-01-057-01","4C-01-057",30,3
"306","4C-01-057-02","4C-01-057",3,2
"307","4C-01-057-03","4C-01-057",31,2
"308","4C-01-057-04","4C-01-057",59,2
"309","4C-01-058-01","4C-01-058",27,2
"310","4C-01-058-02","4C-01-058",3,2
"311","4C-01-058-03","4C-01-058",56,3
"312","4C-01-058-04","4C-01-058",59,2
"313","4C-01-058-05","4C-01-058",30,2
